epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
105,15636.8,0.80274,0.38024,0.00236,0.88325,0.78634,0.84926,0.58983,1.18868,0.81284,0.00429,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,15785.2,0.81739,0.38153,0.00229,0.86311,0.80323,0.85266,0.58979,1.1859,0.81454,0.00426,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,15933.4,0.80224,0.38209,0.00227,0.86776,0.80076,0.85025,0.59162,1.18335,0.8126,0.00426,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,16081.6,0.78741,0.37469,0.00223,0.87679,0.79624,0.85119,0.59278,1.18582,0.81335,0.00426,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,16230.3,0.80566,0.38302,0.00218,0.8731,0.79781,0.84838,0.5933,1.18769,0.81015,0.00426,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,16379.3,0.78072,0.37704,0.00222,0.86154,0.80762,0.85176,0.59313,1.18462,0.80926,0.00426,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,16526.5,0.78463,0.37216,0.0022,0.86747,0.8033,0.85388,0.59524,1.18109,0.80371,0.00426,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,16675.5,0.76737,0.37339,0.00223,0.86376,0.80834,0.8502,0.59211,1.18135,0.82468,0.00425,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,16824.1,0.7911,0.37702,0.00218,0.8696,0.80479,0.8505,0.59261,1.18068,0.82158,0.00424,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,16972,0.79194,0.37305,0.0022,0.86433,0.79992,0.84997,0.59503,1.17838,0.81868,0.00424,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,17119.9,0.75835,0.35616,0.00215,0.88378,0.79031,0.84691,0.59346,1.17847,0.83004,0.00425,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,17269,0.77231,0.36047,0.00224,0.88156,0.78693,0.84717,0.59326,1.17798,0.83055,0.00425,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,17417.3,0.75348,0.3522,0.00204,0.85824,0.80574,0.84905,0.59309,1.17328,0.81926,0.00423,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,17568.1,0.75268,0.36492,0.00217,0.84651,0.81985,0.84983,0.59276,1.17585,0.81909,0.00423,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,17718.7,0.76023,0.36041,0.00213,0.88246,0.78665,0.85085,0.59375,1.17657,0.826,0.00423,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,17868.7,0.7404,0.35497,0.00209,0.87073,0.80817,0.85044,0.59248,1.17418,0.82881,0.00423,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,18018.6,0.76558,0.36806,0.00211,0.86844,0.80456,0.85027,0.5931,1.1748,0.81983,0.00423,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,18168.4,0.7306,0.34764,0.00206,0.86906,0.8067,0.8463,0.59348,1.17513,0.82877,0.00423,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,18318.4,0.7323,0.34689,0.00209,0.86283,0.80836,0.84689,0.59274,1.1745,0.8325,0.00423,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,18469.2,0.73138,0.34618,0.00207,0.84707,0.8175,0.84512,0.59065,1.17475,0.8329,0.00423,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,18618.8,0.7313,0.34392,0.00202,0.86062,0.80604,0.84534,0.59163,1.17386,0.83378,0.00423,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
126,18768.9,0.72641,0.34188,0.00202,0.86933,0.80078,0.84682,0.59335,1.17173,0.82855,0.00423,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
127,18918,0.73451,0.3448,0.00199,0.87602,0.79227,0.84652,0.59111,1.1724,0.83059,0.00422,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
128,19067.9,0.72716,0.3464,0.00201,0.84577,0.82123,0.84867,0.59327,1.17085,0.82558,0.00422,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292
